===Database tsetmc

== Table structure for table tsetmc_stock_category

|------
|Column|Type|Null|Default
|------
|//**ID**//|int(11)|No|
|category_id|varchar(255)|No|
|category_title|varchar(255)|No|
|category_tsetmc_id|varchar(255)|No|
== Dumping data for table tsetmc_stock_category

|228|ستران|30829203706095076|53
|229|سخاش|4470657233334072|53
|230|سخزر|67327029014085707|53
|231|سخوز|41974758296041288|53
|232|سدشت|27000326841257664|53
|233|سدور|27218386411183410|53
|234|سرود|11964419322927535|53
|235|سشرق|26997316501080743|53
|236|سشمال|6757220448540984|53
|237|سصفها|10568944722570445|53
|238|سصوفي|13227300125161435|53
|239|سغرب|52220424531578944|53
|240|سفار|41227201752535311|53
|241|سفارس|15521712617204216|53
|242|سفانو|4528607775462304|53
|243|سقاين|60654872678917533|53
|244|سكرد|65321970913593427|53
|245|سكرما|15472396110662150|53
|246|سمازن|33808206014018431|53
|247|سنير|14231831499205396|53
|248|سهرمز|29747059672582491|53
|249|سهگمت|41284516796232939|53
|250|سيتا|10171945867136336|53
|251|سيدكو|37281199178613855|53
|252|سيلام|14617104402836487|53
|253|كاذر|49353447565507376|54
|254|كپشير|57639364758870873|54
|255|كخاك|16405556680571453|54
|256|كرازي|57086055330734195|54
|257|كساپا|28325731560106431|54
|258|كسرا|4614779520007780|54
|259|كسرام|20560887114747719|54
|260|كفپارس|19471788163911687|54
|261|كفرا|23837844039713715|54
|262|كگاز|62346804681275278|54
|263|كهمدا|67206358287598044|54
|264|پرديس|15039949673085566|56
|265|واتي|33541897671561960|56
|266|واعتبار|47841327496247362|56
|267|وبهمن|18063426072758458|56
|268|وبوعلي|28328710198554144|56
|269|وبيمه|11773403764702778|56
|270|وتوسم|17528249960294496|56
|271|وتوصا|2944500421562364|56
|272|وخارزم|7395271748414592|56
|273|وساپا|37614886280396031|56
|274|وسپه|2328862017676109|56
|275|وسكاب|11258722998911897|56
|276|وصنا|46982154647719707|56
|277|وصنعت|57309221039930244|56
|278|ونيرو|62603302940123327|40
|279|ونيكي|25336820825905643|56
|280|وانصار|49776615757150035|57
|281|وبصادر|28320293733348826|57
|282|وبملت|778253364357513|57
|283|وپارس|33293588228706998|57
|284|وپاسار|9536587154100457|57
|285|وپست|22087269603540841|57
